OPEID,CohortYear,NumDefault,NumBorrowers,DefaultRate,RateType
041176,2011,0,0,0,A
041480,2011,59,182,32.4,A
036803,2011,37,91,40.6,A
022429,2011,19,43,44.1,A
002934,2011,0,0,0,A
024948,2011,9,40,22.5,A
030199,2011,8,46,17.3,A
005363,2011,99,395,25,A
012948,2011,25,104,24,A
020533,2011,22,78,28.2,A
041746,2011,0,0,0,A
039303,2011,7,56,12.5,B
004927,2011,48,174,27.5,A
036114,2011,162,350,46.2,A
041489,2011,2,8,25,B
020568,2011,151,586,25.7,A
030649,2011,18,41,43.9,A
038763,2011,5,18,27.7,B
003762,2011,19,102,18.6,A
038233,2011,3,4,75,B
039644,2011,24,109,22,A
013008,2011,29,91,31.8,B
021816,2011,53,205,25.8,A
025307,2011,9,31,29,A
007447,2011,14,64,21.8,A
041690,2011,4,29,13.7,B
040453,2011,2,10,20,B
023394,2011,12,62,19.3,B
001038,2011,0,0,0,A
041821,2011,0,0,0,A
011672,2011,13,88,14.7,A
023513,2011,13,48,27,B
008612,2011,0,0,0,A
021760,2011,15,51,29.4,A
004835,2011,155,536,28.9,A
005256,2011,0,0,0,P
041634,2011,4,13,30.7,B
041669,2011,1,5,20,B
041545,2011,0,0,0,A
001998,2011,99,358,27.6,P
010826,2011,11,38,28.9,B
009646,2011,0,1,0,B
030104,2011,270,711,37.9,A
003628,2011,0,0,0,A
010554,2011,56,209,26.7,A
030178,2011,23,58,39.6,A
037593,2011,8,59,13.5,A
009231,2011,26,88,29.5,A
041847,2011,1,2,50,B
025535,2011,37,202,18.3,A
041976,2011,0,0,0,A
025686,2011,1,6,16.6,B
041931,2011,0,0,0,A
008085,2011,0,0,0,A
036074,2011,12,36,33.3,B
041186,2011,24,102,23.5,B
009535,2011,5,30,16.6,A
006960,2011,251,872,28.7,P
021466,2011,79,277,28.5,A
001990,2011,216,770,28,P
041438,2011,43,223,19.2,B
001615,2011,158,600,26.3,A
041710,2011,6,29,20.6,B
025488,2011,460,1434,32,A
041772,2011,0,0,0,A
025950,2011,9,47,19.1,A
037833,2011,27,127,21.2,A
011197,2011,0,0,0,A
003026,2011,172,855,20.1,A
021088,2011,36,164,21.9,A
005273,2011,377,1185,31.8,P
002982,2011,115,288,39.9,A
021487,2011,14,73,19.1,B
041848,2011,0,0,0,A
039123,2011,18,54,33.3,B
003669,2011,115,453,25.3,A
021975,2011,33,101,32.6,B
041452,2011,13,42,30.9,A
005271,2011,264,847,31.1,P
006962,2011,146,526,27.7,P
